author,ulasan,like,publis
@cameliaazzahra5126,"ini chipsetnya sama kaya Poco f8 ultra, mending nunggu rilis ini atau beli yg Poco f8 ultra ya. ready aja si budgetnya",0,2025-12-14T15:18:30Z
@ishak4094,"Itu kan design dari poco x5, poco x6, dan xiaomi 11 ultra klau tdk salah",0,2025-12-14T06:04:50Z
@Orangpolos128,Bang coba riview 17 pro max mini ukuran nya kecil kayak IP 7 harga 600 RB an di shopee 😅,0,2025-12-14T03:35:45Z
@huricantesterlagi,"Jujur pengguna xiaomi itu pasukan kere hore, untuk type ini siapa yg mau beli ya.......😂😂😂😂😂😂😂",0,2025-12-13T04:55:14Z
@MURSALIMSalim-q3m,Kalau ketajaman itu samsung mnurutku,0,2025-12-13T03:15:54Z
@khalimi9187,Min review HP politron paling canggih yg pas bwt lawan xiomi dan apple dong,0,2025-12-13T00:00:34Z
@mboisndeso4456,wah terus bersaing,0,2025-12-12T11:46:57Z
@laodesamiudin1637,Kebanyakan ngomong,0,2025-12-12T10:56:19Z
@iwanhutamasanjaya976,Mau IPHONE 50 Pro max...  Tetep ogah beli dan pake.... Tetep Android aja,1,2025-12-12T06:35:16Z
@Diyt_edit,7:34 lebih mirip mi 11 ultra sih,0,2025-12-12T04:35:39Z
@fahriridho9852,Jadi boros gak ya layar e dobel gitu 😭?,0,2025-12-11T16:44:24Z
@ndiant1,nama niru iphone tp disain kayaknya iphone yg niru poco... hehehe,0,2025-12-11T09:35:50Z
@에빈아난다,ini kpn ya masuk indo...,0,2025-12-10T22:42:15Z
@ekopurnama5658,Smoga kebeli amin ya Allah,0,2025-12-10T17:10:40Z
@odikartiko2027,Ios nya ndak isa ngalahi  i0s 26,0,2025-12-10T08:38:24Z
@malayuma,Keren bgt😭,0,2025-12-10T07:35:49Z
@mekshaaqlate673,"Gila! sumpah keren amat 😭 cantik layar belakang nya. luar biasa. btw knp semua HP sekarang camera begitu semua ya. ada 3, ada 4 camera 😂 style hp skrng luar biasa ya. begitu semua. berbeda amat dgn 5 atau 10 tahun lalu..",1,2025-12-09T13:05:04Z
@Frendskyy,"serius tanya,aku punya 17 pro tapi kok gabsa cek garansi ya",0,2025-12-09T12:04:24Z
@jbrsquad8217,Tiap nyari hp pasti ke sini dulu😅😅,1,2025-12-09T09:24:17Z
@sigmawoman.i.d,ini kalo xiomi niat ngasih harga 22 juta gimana ya 😂,0,2025-12-09T07:51:33Z
@jokobodo4696,produsen yang gak punya malu yah xiaomi,0,2025-12-09T06:09:51Z
@faris9195,.,0,2025-12-09T04:05:05Z
@HarryRaykage-d3z,Bagus layar belakang nya 😅ada meow,0,2025-12-08T16:15:41Z
@arjunachanel600,"China pahlawan Asia,mulai dari mainan kecil sampai besar tersedia",0,2025-12-08T10:14:15Z
@aryabachtyar4892,berarti 1988 tahun yg bagus ya bang 😅,0,2025-12-08T08:47:32Z
@FadilAlandalusi-h1c,Iphone menang di nama,0,2025-12-08T07:23:39Z
@dpindo7287,9:48 widih😂,0,2025-12-08T05:59:28Z
@Pejuang-NKR1,GW KASIH TEPUK TANGAN BUAT XIAOMI👏😍,0,2025-12-07T16:51:58Z
@elvioelvio9001,Di mlysia masih mahal harga nya.. dalam RM3k/4k,0,2025-12-07T12:14:22Z
@mungkidamar1305,"Selain iphone & samsung untuk brand lain dengan fitur paling canggih dan harga paling mahal, gw ga akan mau beli kecuali dikasih hehe",0,2025-12-07T10:38:33Z
@dhiaquilles,yakan,0,2025-12-06T21:10:15Z
@Sofaqis,"Selalu rindu dengan kegagahan hp sony Ericsson, tapi syg sudah bubar 😢",0,2025-12-06T16:42:46Z
@muhamadnugi4745,Bingung bgt kalo mau beli hp2 flagship gini🙂‍↔,1,2025-12-06T01:21:40Z
@pratiwitiass,Bang penasaran deh hape yg km pake sendiri apa ya? 😁,0,2025-12-05T09:35:05Z
@OmTri,"Kenapa selalu xiaomi yg di tuduh meniru, bagaimana kalo di balik iphon yang meniru",0,2025-12-05T00:38:08Z
@jokosantoso343,Game nya namanya apa😅,0,2025-12-04T13:40:38Z
@fitrianiramadanti1144,"Kak minta tolong dong buat video rekomendasi hp terbaik awal 2026 pengen beli hp yg kamernya bagus di pakai lama , baterai awet gak gampanh lobet dan penyimpanan besar hrga di bwah 10jt",0,2025-12-04T12:04:48Z
@fitrianiramadanti1144,"Kak minta tolong dong buat video rekomendasi hp terbaik awal 2026 pengen beli hp yg kamernya bagus di pakai lama , baterai awet gak gampanh lobet dan penyimpanan besar hrga di bwah 10jt",0,2025-12-04T12:01:48Z
@raihanrghfr,Mungkin Xiaomi lagi mikir "Soro soro jikan da" karena karena iPhone lagi Stagnan,2,2025-12-04T03:45:12Z
@jojo-rk7qc,"Selama 1 bulan stlh David review 2 hp ini yg saya sering liat di IG dan tiktok ttp IP, ga ada yg pakai Xiaomi, kenapa ya padahal Xiaomi ada layar blkg ??",0,2025-12-03T23:39:43Z
@upillupi2221,Iphone air gak reviu bang,1,2025-12-03T14:30:06Z
@awokawokwkwk4210,Ep cell kok ga disebut bang,0,2025-12-03T13:06:45Z
@miftahulmujahidin,"Kalo mau beli Hp pasti nonton bang David dulu, kalian juga gak sih ?",0,2025-12-03T10:37:40Z
@haidarraif5777,Bisa DM gw bang klau bisa d beli,0,2025-12-02T15:02:10Z
@haidarraif5777,Bang bisa gw beli g xiaomi 17promax nya yg 1TB,0,2025-12-02T14:58:06Z
@MiyaBeban,Iphone spek dewa 😂😂😂,0,2025-12-02T13:44:52Z
@MacanSiberia-mp1os,Iphone yang nyontek Xiaomi PI 11,0,2025-12-02T08:57:08Z
@laso_bg3035,Kalo beli rom china di toko onnline dmana bg,0,2025-12-02T06:49:57Z
@IC2N_NY,"Kalau banyak tiruan autentik nya udah burem , dan otomatis keamanan diragukan karena udah pasti bisa kebobolan",0,2025-12-01T16:45:06Z
@FreddieRose-x9f,Minta satu bang hp apa aja,0,2025-12-01T14:55:16Z
@HadiMiftahurRahmat,mendingin atau nandingin 😂,0,2025-12-01T14:54:48Z
@andalusiabrothers211,Mantab,1,2025-12-01T13:54:25Z
@delfiaband8107,Andro terbaik Xiaomi di klas nya,0,2025-12-01T10:33:14Z
@JJN-lt2wl,Masih ada jiter,0,2025-12-01T08:20:34Z
@ayutarya,"Makin ke sini makin males nonton, kurang dan jarang upload, kurang lengkap hp yg di bahas dan selalu hp Flagship",0,2025-12-01T05:10:22Z
@ompong8014,👍,0,2025-12-01T02:38:49Z
@nekonyan69,Ganteng banget ni hp😭😭,0,2025-11-30T16:34:46Z
@dimas_w.s,Baterai nya tmbh boros ?,1,2025-11-30T10:29:51Z
@fitrianingsih4142,Lebih bgds xiaomi,0,2025-11-30T07:32:17Z
@Mainyuksamaadesdafa,Disini IP keliatan ketinggalan dibandingkan Xiaomi yg kyk dari masa depan 🎉,0,2025-11-30T07:22:11Z
@qwertyqaz-sq2pl,banggg bikin rekomendasi hp lagiii buat tahun baru,0,2025-11-30T06:47:42Z
@djourney4304,angka favorit aku 8 koh..,0,2025-11-30T02:05:02Z
@rudysaputra3652,Lg nabung untuk beli promag,0,2025-11-30T01:28:19Z
@MasJanuuu,Iphone jelas niru POCO sih,0,2025-11-29T13:21:48Z
@deriiiq,Mantap,0,2025-11-29T08:40:55Z
@SitiNurjanah_14,Kapan bisa kebeli nih xiaomi yg ini ya gusti😭,0,2025-11-29T03:02:28Z
@nurmuhamadbaihaqi3442,Tapi sayang mirip ipon,0,2025-11-28T13:04:08Z
@ngadim11levend,12:56 emang Region natlan terinspirasi dari Amerika Latin bang,0,2025-11-28T11:57:08Z
@auraninandita,Pliss mending ini atau oppo reno 14 prooo?,0,2025-11-28T06:22:47Z
@shizii_7,Kapan buat video rekomendasi hp terbaik akhir tahun bang? Udah pengen beli hp baru ni..,0,2025-11-28T02:00:32Z
@aldomaldino,"bang bikin rekomendasi hp terbaik akhir tahun 2025, udh mau event 12 12",0,2025-11-28T01:56:51Z
@awan_clouddy13,_wah_ _mantap_ _semoga_ _bisa_ _kebeli_,0,2025-11-28T00:37:59Z
@RRR-y1y1n,Sumpah gua suka banget,0,2025-11-27T11:01:54Z
@hidayatgroup7956,Iklan kita masih ada di hp xiaomi 17promax bg?,0,2025-11-27T05:19:01Z
@sriindah5046,Awal kehancuran brand king IP,0,2025-11-27T04:50:09Z
@firmanwahyus2354,Bang typo tulisan nya (menandingi)😅,0,2025-11-26T22:30:54Z
@BaruBaru-z2n,Sial kuadrat😂😂😂,0,2025-11-26T11:16:08Z
@Jackuno76,semoga saya meninggal di umur 75 tahun,0,2025-11-26T11:13:38Z
@IBHobbies,wah keren juga tu kacamata spy  😂,0,2025-11-26T09:56:11Z
@IZD0Z,"Jelas aja ini hp dipinjam, mungkin salah kasih pembungkus hp kan sudah di cabut emei nya ...gak penting juga pembungkus nya penting isinya dan kegunaannya. lagian bukan unit final masuk di Indonesia bisa saja lebih baik lagi",0,2025-11-26T08:17:02Z
@PujiantoAnto-s8e,Saya Hape Siomay Procold... Bang😂😂😂,0,2025-11-25T23:12:06Z
@Rabis27-08,Baterai nya luar biasa,1,2025-11-25T22:41:42Z
@RiszkiyanBayu,"anjirrr kualitasnya video ,foto udh bisa bersaing ama yg lain di kelas yg sama.",0,2025-11-25T19:11:12Z
@apriliarumarugun5457,Kerenn bgtt wehh smartphonenya 😮,0,2025-11-25T16:14:50Z
@dinastrinurhadi908,bang rekomendasi tws dong,0,2025-11-25T08:10:48Z
@merrymartini34,"bang David user ip banyak yg ga milih andro (meski kameranya bagus) karna katanya andro makin lama kameranya makin jelek, gimana menurut bang David? penting banget buat aku yg bener2 pengen tau masalah ini🙏",2,2025-11-25T06:15:41Z
@PapaYola-ud8oh,13:25 Gak jadi beli lah,0,2025-11-25T00:39:56Z
@AndikaAmir,Promek ga tuh,1,2025-11-24T20:50:11Z
@johnPet666,"Lagi bingung th depan siapkan badget buat IP 13/15, lihat konten ini jadi mikir pindah ke android ini.
Moga masuk Indonesia ya bang David.
Fiturnya oke, kalau lumayan panas (main game) gpp, karena jarang nge-games.",1,2025-11-24T17:16:37Z
@Kymotivation12,❤,1,2025-11-24T13:32:58Z
@fauziltakengon5566,"Bg cobain nubia redmegik 11 pro, bg",0,2025-11-24T13:01:57Z
@DrakulaKastil,Kayak ada temen lagi ngobrol d ruang tamu,1,2025-11-24T12:56:46Z
@Ponselpedia,"Menurutku, Xiaomi 17 Pro Max adalah salah satu flagship paling “full paket” dari Xiaomi sekarang ,performa tinggi, baterai besar, fitur unik layar belakang dan build premium.",1,2025-11-23T19:16:09Z
@ihsanmaulana-y3u,Aku lebih suka Xiaomi 17pro max,0,2025-11-23T18:51:17Z
@ernestnatanaelmanullang6816,chargee yg di box kayanya ga type c yg dikasih,0,2025-11-23T18:35:01Z
@ShareAFKMoment,4^2,0,2025-11-23T15:25:45Z
@tuan21channel,"langsung bro, harga berapa diawal video",0,2025-11-23T15:08:11Z
@asepjauhary396,Xiaomi mantap AKU BALI 2018 AWAL YAAA.... sampe sekarang type Xiaomi mi A1 bayangin berapa tahun batray 3x ganti wajar kan di oake terus  7 tahun berjalan 5 bulan😊,0,2025-11-23T13:49:28Z
@OneCreative92,"Bg bandingin Tab buatan SIRKELS, KLOURUS sama LUXIS, Harga 1jtan yang mana yang bagus.",0,2025-11-23T10:59:05Z
@muhammadaldi5430,Coba review hp Smartfren Andromax c jadul bg,0,2025-11-23T08:27:27Z
@DistoRamenusa,Kira-kira kalw resmi hrganya brpa ya,0,2025-11-23T07:54:50Z
@Rojjo17,Udah ada di Indonesia ngga Ka David,0,2025-11-23T07:54:47Z
@rockyzedd,"Owh hanya krna angka 17 dibilang nyontek ipong, kukirain desain kalau desain mah gua debatin",0,2025-11-23T05:46:42Z
@vanwei6295,20:57 kaget cok😭,0,2025-11-23T05:06:38Z
@adiyafamily5965,"Tim andoid aku kah soalnya butuh kamere jahat wkwkwk ini punya IP 13promax bingung buat apa,  aku aktif hapean jd butuh yt fast charger. Hp IP gak fast charger aku gak betah. Gak bs di buru2",1,2025-11-23T03:14:44Z
@Qwert0277,baru kali ini design iphone kalah sama xiaomi,1,2025-11-23T02:50:52Z
@baradivanca4707,8:54 Gak niru jauh dari mana bg xiaomi udh jelas niru dari namanya aja ada 17 pro max sampe loncatin harusnya xiaomi 16 dulu malah langsung ke 17,1,2025-11-23T01:44:33Z
@tsaurah,Coba klo ada touch screen di belakang kayak gitu klo flip cocok bgt pasti,1,2025-11-22T11:04:44Z
@heniagneszumbainstructorba9019,"Video ini saya tonton menggunakan I phone 16 pro max, buat saya video foto dari xiaomi 17 pro max biasa ajaaah,,, Tetap Stay tone di I Phone 17 pro max aseeekkkk😍😍👏🎉",1,2025-11-22T06:03:00Z
@RepostStory5-k5g,Tunggu aja xiomi 17 pro max ultra,1,2025-11-22T02:03:28Z
@cahyonosupardi260,Inilah yg dibilang inovasi baru,0,2025-11-22T00:00:31Z
@gilangfatchurr7787,Saran dong bang masih bingung mo ambil 14 pro / 15 basic ya🙏,0,2025-11-21T11:21:46Z
@QueenShakila-u2m,Saya berharap handphine Made in indonesia. akan menjadi yg terbaik di negara sendiri.,0,2025-11-21T03:12:28Z
@ekyale2121,Layar belakangnya bisa dipake buat main game juga itu bang. Saya pernah liat di videonya om Dhiarcom.,0,2025-11-21T02:03:41Z
@haulaharamain,nonton video ini walaupun belum bisa beli kedua hp nya 😢,0,2025-11-20T21:42:26Z
@sunsshine28,belasan juta ga layak lah kalo hape china,1,2025-11-20T16:49:23Z
@sidoel_channel86,Xiomi 17 pro max keren... layar belakangnya juga bisa di pakai maen game ada casenya khusus terpisah,0,2025-11-20T14:56:51Z
@fahmyyusuf9057,Yang punya video ga ribet yang komen ribut 😂,1,2025-11-20T12:22:03Z
@blurayheroid,15jt masih pake usb A 🙄,0,2025-11-20T11:02:28Z
@hokameatake5466,Review tes game Arena Blackout bg 🙏👍,0,2025-11-20T05:35:51Z
@arifanugrah0942,Bng buat konten rekomendasi hp dari harga 1jtan - 20 jtan lagi,16,2025-11-20T02:49:30Z
@nopalputra-o1k,bang riview iqoo 15 bang,0,2025-11-19T12:53:15Z
@herihidayat4174,Bang review hp motorola g06,0,2025-11-19T12:32:07Z
@slamettthresmetall8348,"Kelemahan xiaomi ketika sering makai sampai panas CPU nya kenak, sayang bener padahal enak hp nya😅",0,2025-11-19T09:28:29Z
@arman_seloww6648,bang cek donk hedset gen4 terbaru nih review jangan sampe lupa wkwk udah follow nih,0,2025-11-19T09:16:42Z
@MuhammadRizky-g2u3z,Umur 50 tahun mau ganti HP ku pecah. Xiomi... ❤harga yang tadi... 3 kamera...,0,2025-11-19T08:01:46Z
@RikaQueen-p6z,mana nih gak ada vidio terbaru di tunggu tunggu,0,2025-11-19T08:01:18Z
@Muthisndy,Ap pun hpnya ap yg di inginkan beda" tiao orang jd pilihan di tangan klian sndri toi alhamdulillah w ad rejeki buat minang ip 16 promax hasil jeripayah sendiri buat self reward,0,2025-11-19T06:38:36Z
@ultear33,"7:57
""Kecuali....""",0,2025-11-19T02:24:21Z
@dodyr.u.5925,"Saingan Suzuki Jarjit 150R Pro Max nih. 
😂😂😂😂😂😂😂",1,2025-11-18T21:28:37Z
@witriasalihovic5568,Wooawwah,0,2025-11-18T16:26:00Z
@labotiluatt4136,Sayang gak masuk ke indo,0,2025-11-18T14:38:37Z
@muhidinalfarijichannel8958,bang beli hp blm liris lu suka belunya gmn sih bang caranya...,0,2025-11-18T14:11:43Z
@sansskuyy1,keren banget gila kamera nyaa,0,2025-11-18T13:33:12Z
@iimitan,4:31 colokan cina banget. Berarti emg blm resmi masuk indo ya,0,2025-11-18T11:29:08Z
@EzInvoker,ini harga brp bang ?,0,2025-11-18T05:44:37Z
@penjahat69,"Xiaomi pernah disain hp itu dulu di type apa lupa aku,jadi Xiaomi tidak meniru disain ipon",0,2025-11-18T03:55:31Z
@titoharris5207,Bg kapan rekomendasi  akhir tahun bg,0,2025-11-18T02:50:01Z
@Poncogaisyoutube,Xiomi setelah update 2-3 tahun ada aja keluhanya,0,2025-11-17T23:26:24Z
@syahrirmauluddin1001,Jaman skrng masih aja ngeriview hp kaga ada kerjaan lain apa,0,2025-11-17T21:59:16Z
@robertdavidchaniago9381,"ati-ati yang pakai xiaomi rom china, notifikasi whatsappnya bisa seribu bahasa 😂, elu dapet message ngga tau, elu ditelfon pakai whatsapp ngga tau juga. YTTA",1,2025-11-17T21:21:33Z
@mohKhalilikhalili-e5e,"assalamu'alaikum mas, salam kenal dari Madura, saya mau cari hp tablet Android yg second,kira kira ada nggak yg kebawah 1 jutaan?",0,2025-11-17T21:06:47Z
@LutfiatunNisfah,Pecinta xiomi nyimak,0,2025-11-17T17:15:17Z
@ae3262,"Keren... Gokil!!! Gilaaaaa. Gw dulu xiaomi, skrg tecno. Next kayanya xiaomi lagi neeeh~~",0,2025-11-17T13:32:35Z
@Ceramah_IslamicShort,semoga bisa kebeli..,0,2025-11-17T09:53:18Z
@super-k8v,dibagian atas hp nya kok tidak ada speakernya lagi. apakah speaker hpnya mono bang?,0,2025-11-17T05:41:10Z
@duniaanak6742,"Xiaomi ga kuat SM iklanya, mending poco",0,2025-11-16T18:07:23Z
@muhammadalishofan5913,Yg pakek note14pro 5g angkat tangan 😂,0,2025-11-16T17:48:07Z
@rizalchannel3346,"Si review apaapa disetiap unboxing serba salah, dibikin simpel salah di bikin ribet salah🤣🤣",0,2025-11-16T17:01:15Z
@pinerainy5176,Xiaomi ngak di ragukan....gw aja punya yg 14 masih bagus hasil photonya dari iPhone 16...Krn hp gw paling sering di pakai buat photo teman teman di kantor padahal ada teman yg punya iPhone 16,0,2025-11-16T13:55:50Z
@P4P1d,9 tahun lalu coba2 pake brand Xiaomi dan beli yang seri Mi Max jadi kata Max sudah ada sejak dulu bukan contek iphone,0,2025-11-16T13:06:24Z
@BudionoSiregar20,bang kenapa gk review lengkap iphone 17 pro?,0,2025-11-16T10:44:20Z
@ibadru0291,Kenapa lebih bagus stabil di kamera depan nya di banding kamera belakangya banyak banget geternya stabil kamera belakang ny,0,2025-11-16T10:16:13Z
@AbiAwfa,Adu bang sama Vivo x300pro,0,2025-11-16T10:15:55Z
@Ace_Polar41179,"""halo guys david kembali""
""halo guys david disini"" 😹😹😹😹",0,2025-11-16T09:15:52Z
@JesividYT9191,"Xiaomi 15 Ultra apa Xiaomi 17 pro Max ya?
Mana bgus guys?",0,2025-11-16T08:19:44Z
@IsyamMasamba,Tidak nyontek bang karna hp 13 pro 4G case nya sudh mirip dengan kamera 17 pro max,0,2025-11-16T06:27:26Z
@friedohadi-dk4jt,"Om David, itu camera HP nya udah dakian Om :(",0,2025-11-16T05:45:11Z
@RustamiTami-u6x,"Saya bersyukur bangat dari iphone 11 pro sampai yang 17 pro pernah pakai semuanya, dan bekasnya gk pernah saya jual, selalu saya kasih ke orang yng kurang mampu walaupun stelah itu saya harus bagun dan cuci muka karna sudah pagi🤲",0,2025-11-16T01:59:04Z
@gedewidi404,"bang David izin tanya dong, itu pas cobe kamera nya, abang pake kacamata apa ya? spill dong
thankyou",0,2025-11-16T01:07:20Z
@otakugamerzz3264,"1. hp tidak resmi
2. rom china only
3. support sc kurang karena tidak resmi
4. ada 100% kemungkinan imei hilang jika terjadi brick, dan sc tidak bertanggung jawab karena barang tidak resmi
5. gak bisa ubl khusus hp china only


hp nya memang bagus tapi cuma untuk user di china yang akan menerima banyak keuntungan untuk software dan hardwarenya

dan gw ngalamin sendiri beli hp china only pas ke indo lagi update software terus brick karena softwarenya ampas hyperos, imei hilang.
sc nya bilangnya makanya beli barang resmi resmi aja 

terus kalau ada yang bilang kan bisa tulis imeinya, otak mu belum sampe, gak bisa bro udah gw coba segala hal termasuk ke EDL mode, gak ada rom engineringnya juga percuma untuk hp hp china only",0,2025-11-16T00:15:06Z
@ekaputrasusilo,Kapok pake Xiaomi dah  3x hp gampang panas pemakaian 1thn panas nambah parah sampe ic power kena batre cepet drop nyoba ganti ke hp lain Samsung ga separah Xiaomi padahal harga ga beda jauh mending pake Samsung nya sih,0,2025-11-15T20:38:40Z
@tadabburquranchannel,"* [00:00:00] Pembukaan dan Pengenalan Unit
 * [00:00:41] Kontroversi Nama ""Pro Max"" dan Isu Peniruan iPhone
 * [00:02:44] Unboxing Kotak Panjang dan Aksesori (Charger 100W)
 * [00:04:57] Desain Fisik dan Perdebatan Modul Kamera Mirip Jendela
 * [00:08:51] Tampilan Belakang dan Mengaktifkan Layar Kedua yang Unik
 * [00:10:50] Spesifikasi Layar dan Pengujian Chipset Snapdragon 8 Elite Gen 5
 * [00:13:25] Isu Performa Throttling Akibat Panas dan Baterai 7.500 mAh
 * [00:14:57] Eksplorasi Fitur Layar Belakang (Watch Face, Kustomisasi)
 * [00:21:15] Fitur Unggulan: Selfie dengan Kamera Belakang Menggunakan Layar Preview
 * [00:25:54] Kualitas Foto Hasil Kolaborasi Leica
 * [00:27:25] Kesimpulan: Eksperimen Berani Xiaomi vs Keamanan Apple

Silakan kak, yang mau ubah video jadi catatan pdf> wa 0851 5621 6621",0,2025-11-15T15:17:43Z
@CVALAFAZCIPTASEJAHTERA,Makin gila kerennya Xiomi.,0,2025-11-15T12:39:16Z
@iZuna-OfficialGaming,Gua malah fokus ke gameplay genshin dia bjit 🗿,0,2025-11-15T11:19:36Z
@Belmon-h7z,Mr dave alias david,0,2025-11-15T10:44:47Z
@nabsfhr21,Tapi serius mau nanya dehh kalo info di google katanya xiaomi 17 pro sama 17 pro max katanya gak bakal masuk ke pasar global yaa? Sedih banget padahal naksir 😢😢,0,2025-11-15T10:42:20Z
@bimaahadi3258,Ini ada kemungkinan masuk ke indo gak yaa? Bair nunggu seri 17promax xioaminya,0,2025-11-15T07:48:44Z
@SiBroKoliYT,"TIMESTAMP ❤❤
00:00 Xiaomi 17 PRO MAX
01:01 Apakah Xiaomi nyontek iPhone (lagi)?
02:46 Desain kotak panjang
04:05 Isi kotak Pro Max
06:00 Rasanya ada yang aneh...
07:18 Apakah desain juga niru iPhone?
09:45 Asekkkkk
10:50 Display NICE
11:38 Snapdragon 8 Elite Gen 5
12:50 Tes Genshin nya agak...
14:35 Baterai 7.500!
15:00 Cobain layar KEDUA!
21:35 Pengennya ada di semua HP...
23:35 Sampel selfie pake kamera belakang
24:35 Gimmick?
25:30 Sampel kamera 17 Pro Max (Xiaomi)
27:25 Kesan saya buat Xiaomi 17 Pro Max

Edit : thanks like nya",0,2025-11-15T05:14:01Z
@saifuljaya7181,gedeh murah   kecil malah mahal,0,2025-11-15T03:55:47Z
@feli-shouu,ipong plek ketiplek 😂,0,2025-11-15T03:46:41Z
@jelitasimanungkalit7041,"Xiaomi note 13 ku mudah panas cok😂,batrenya bengkak batre boros trus klaim garansi jadi diganti si sama unit baru gatau beneran baru atau gak",1,2025-11-15T03:11:47Z
@SyawalhykariDewan,Bang coba review redmi note 15,0,2025-11-15T03:01:42Z
@capungjantan8566,brand hp yang udah gede2 begini kenapa ga fokus buat lepas dari OS Android ya..kebanyakan cuma gonta-ganti nama OS cuma masih aja berbasis android..coba mulai mandiri kayak apple gitu..baru abis itu compare2 fitur atau inovasi ,7,2025-11-15T02:20:45Z
@rvsjsoei,Xiaomi akhirnya bisa tau cara ngambil alih pasar iphone kedepan nya. gila brand ini bisa balikin keadaan sekarang,0,2025-11-15T01:24:01Z
@kangoga40,Pertama Xiaomi ada pantesan dulu di juluki "bintangnya Apple dari timur" .,0,2025-11-15T00:12:57Z
@GalaxySeluler-w8r6r,Ok,0,2025-11-14T23:31:11Z
@ilmaaulyani,Mi emng selalu keren sihh..,0,2025-11-14T22:21:21Z
@sylvieaudio457,20:56 jangan diulangi bang😭😭,0,2025-11-14T15:08:49Z
@PBLCxSENK,"Suka xiaomi aplg warna unyu ya allah imut kalii 
Pke case imut pke gantungan imut aaaaaaaaaa mauuuu",0,2025-11-14T14:17:28Z
@erinasiska1715,"Rekomendasiin dong hp yg ga mudah panas dn kamera nya bagus, range harga 4  jutaan",0,2025-11-14T13:45:52Z
@yuhendri_tanjung,Nanti ujung2 nya hp pakai layar depan dn belakang sama ukuran. Guna kebalik pun hp sama aja 😅😅,0,2025-11-14T12:42:59Z
@Rr_J,Review iqoo 15 ultra bg,0,2025-11-14T11:21:13Z
@febrianbian7460,17:17 lah ada Masbro🗿,0,2025-11-14T10:54:18Z
@yuzukidesu,😀,0,2025-11-14T10:45:11Z
@abip2069,"Mahal doang batre mahal, mending xiomi lha android multitasking lg, tampilan lbh canggih bs kamuflase jg dsangka ipon😂",1,2025-11-14T05:43:51Z
@samudra4821,Makin boros gak si ?!!,0,2025-11-14T05:31:53Z
@adiguna8360,Xiaomi versi ini apa ada google play nya,0,2025-11-14T00:50:23Z
@Omans12,Mantap Xiaomi 🎉🎉❤,0,2025-11-13T22:06:52Z
